supernova name,redshift,magnitude,stretch,color
'SDSS18835',0.12262,19.509318,0.757721,-0.013286
'SDSS18855',0.12715,19.700776,0.247941,-0.027883
'SDSS18927',0.21323,21.240608,-0.590113,0.113055
'SDSS18940',0.21861,20.966724,-0.943963,-0.048746
'SDSS18945',0.26856,21.597167,0.138984,-0.048331
'SDSS18965',0.20466,20.719102,-0.639717,-0.111895
'SDSS19002',0.2671,21.206503,0.323447,-0.097382
'SDSS19008',0.21757,21.084988,1.079449,0.085294
'SDSS19023',0.24185,20.841931,1.302288,-0.11898
'SDSS19027',0.2935,21.355269,0.469262,-0.006881
'SDSS19067',0.35346,21.770897,0.55207,-0.065751
'SDSS19101',0.18563,20.773682,-0.170077,0.045482
'SDSS19128',0.28543,21.594277,1.352452,-0.064859
